variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_1168	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1174	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1175	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1176	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1177	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
ybiI_1	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1179	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1180	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1181	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1182	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1184	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
xerD_3	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_423	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
dam_2	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1165	0.5329999999999999	0.0281	0.131	-0.631	0.414	0.139		0.6333333333333333	0.36666666666666664	0.43333333333333335	0.5666666666666667	38	22	26	34
group_404	0.45799999999999996	0.0172	0.892	0.131	0.96	0.0125		0.35	0.65	0.5666666666666667	0.43333333333333335	21	39	34	26
group_98	0.45799999999999996	0.0172	0.892	0.131	0.96	0.0125		0.35	0.65	0.5666666666666667	0.43333333333333335	21	39	34	26
group_298	0.45	0.0102	0.0202	-0.838	0.35600000000000004	0.212		0.3333333333333333	0.6666666666666666	0.5666666666666667	0.43333333333333335	20	40	34	26
group_883	0.442	0.8540000000000001	0.748	0.0205	0.0637	0.0296		0.43333333333333335	0.5666666666666667	0.45	0.55	26	34	27	33
group_1146	0.38299999999999995	0.00266	0.43799999999999994	-0.0633	0.0814	0.0714		0.25	0.75	0.5166666666666667	0.48333333333333334	15	45	31	29
group_97	0.36700000000000005	0.705	0.5820000000000001	0.161	0.292	0.0507		0.38333333333333336	0.6166666666666667	0.35	0.65	23	37	21	39
group_297	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_603	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_604	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_931	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_932	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_933	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_934	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_936	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
group_937	0.358	0.8490000000000001	0.8079999999999999	0.102	0.42	0.0224		0.36666666666666664	0.6333333333333333	0.35	0.65	22	38	21	39
